Complaint No,Customer ID,Customer Name,Complaint Description,Complaint Type,Equipment Type,Priority Type,Complaint Date,Assigned Date,WIPDate Time,WIPAge,Close Date,Vendor Name,Resolution Type,Complaint Age,PORelease Date,PORelease Age,Material Delivery Date,MTDAge,Work Closer Date,Comment Date,Comments,WIP Vendor Enginner  log Date,WEAge
MAFIL_481928,0793,NORTH USMAN ROAD,wireless panic switch not working,Wireless Panic Switch BH Not Working,Alarm Panel,Class B,04/05/2023 15:09:19,04/05/2023 15:24:26,,,04/05/2023 15:24:26,Zubaid Infotech,close,0,,,,,,04/05/2023 15:24:26,517617050405 Closed Wireless Panic Switch Replaced | BH 39140,,
MAFIL_481929,2230,CHAKRATA ROAD DEHRADUN,BH 377231//Center Camera SD Card Failure,Center Camera SD Card Failure,CCTV,Class B,04/05/2023 15:13:13,04/06/2023 11:48:25,,,04/10/2023 10:54:11,Techsis Ltd,close,2,,,,,,04/10/2023 10:54:11,516122100406  BH 377231 center camera sd card changed.,,
MAFIL_481931,1805,SARJAPURA BANGLORE,Wired Panic Switch ( Wash Room) Not Working,Panic Switch Wired Washroom Cabin Not Working,Alarm Panel,Class B,04/05/2023 15:22:32,04/06/2023 11:49:01,,,04/12/2023 13:06:42,CHUBB SYSTEMS PRIVATE LIMITED,close,5,,,,,,04/12/2023 13:06:42,"517617120408 Closed Key released properly  now okay,BH-318622",,
,,,,,,,,,,,,,,,,,,,,04/05/2023 15:22:32,Wired Panic Switch ( Wash Room) Not Working,,
MAFIL_481932,2230,CHAKRATA ROAD DEHRADUN,Wireless Panic Switch BH Not Working // Zone 4 disabled,Wireless Panic Switch BH Not Working,Alarm Panel,Class B,04/05/2023 15:24:26,04/06/2023 11:49:39,,,04/10/2023 10:57:40,Techsis Ltd,close,2,,,,,,04/10/2023 10:57:40,516122100408  BH 377231 wireless panic switch one battery replaced.,,
MAFIL_481933,3925,WARUD,1 gps not working,GPS board issue,GPS,Class C,04/05/2023 15:29:04,,,,04/24/2023 16:10:17,Not Assigned,close,0,,,,,,04/05/2023 15:29:04,1gps not working,,
,,,,,,,,,,,,,,,,,,,,04/24/2023 16:10:17,ACTIVE 06-04-23 Emp Code 370538,,
MAFIL_481938,2149,MGR NAGAR MANALI,Wireless Panic Switches Not Working // zone 4 disabled // BH 357450,Wireless Panic Switches Not Working,Alarm Panel,Class B,04/05/2023 15:47:55,04/06/2023 11:50:16,,,04/08/2023 12:17:39,Zubaid Infotech,close,1,,,,,,04/08/2023 12:17:39,517132040812 Closed Battery replaced // BH 357450,,
MAFIL_481940,0575,PARLI,Renovation started,Alarm Panel Not In network,Alarm Panel,Class A,04/05/2023 15:55:08,04/05/2023 15:56:15,,,05/08/2023 15:04:46,MX Electronics Pvt Ltd,close,33,,,,,,05/02/2023 15:21:02,Pir sensor additional device po issued. - 02.05.2023,,
,,,,,,,,,,,,,,,,,,,,05/08/2023 15:04:46,"Rennovation completed - bh: 336724
clousure id: MS02052065",,
